"Image Name", "Elapsed Time", "Object #", "Frame #", "X", "Y", "Distance", "Time Interval", "Velocity", "Absolute Angle", "Distance To Origin", "Delta X", "Delta Y"
"Result of NSS_01", "00:00:00.000", 1, 1, 206.163, 124.975, 0, 0, 0, 0, 241.085, 0, 0
"Result of NSS_01", "00:00:00.142", 1, 2, 202.314, 126.888, 4.29789, 50, 0.0859578, -63.5713, 238.813, -3.84871, 1.91293
"Result of NSS_01", "00:00:00.143", 1, 3, 199.806, 127.031, 2.51215, 50, 0.050243, -86.7287, 236.769, -2.50806, 0.143356
"Result of NSS_01", "00:00:00.143", 1, 4, 198.756, 126.965, 1.05205, 50, 0.0210409, -93.5974, 235.848, -1.04997, -0.0660095
"Result of NSS_01", "00:00:00.143", 1, 5, 193.162, 123.965, 6.34838, 50, 0.126968, -118.205, 229.519, -5.5946, -3.0004
"Result of NSS_01", "00:00:00.143", 1, 6, 190.203, 123.567, 2.98551, 50, 0.0597102, -97.6719, 226.817, -2.95879, -0.39856
"Result of NSS_01", "00:00:00.143", 1, 7, 183.697, 119.846, 7.49461, 50, 0.149892, -119.767, 219.335, -6.50572, -3.72085
"Result of NSS_01", "00:00:00.143", 1, 8, 180.624, 119.41, 3.1036, 50, 0.062072, -98.0749, 216.527, -3.07283, -0.435951
"Result of NSS_01", "00:00:00.143", 1, 9, 180.027, 118.904, 0.782951, 50, 0.015659, -130.263, 215.749, -0.597458, -0.50602
"Result of NSS_01", "00:00:00.144", 1, 10, 174.769, 116.256, 5.88681, 50, 0.117736, -116.733, 209.904, -5.25758, -2.64808
"Result of NSS_01", "00:00:00.144", 1, 11, 172.868, 115.847, 1.94493, 50, 0.0388986, -102.137, 208.096, -1.90146, -0.408905
"Result of NSS_01", "00:00:00.144", 1, 12, 172.39, 116.006, 0.504331, 50, 0.0100866, -71.5503, 207.787, -0.478409, 0.159607
"Result of NSS_01", "00:00:00.144", 1, 13, 168.029, 114.219, 4.7126, 50, 0.094252, -112.294, 203.174, -4.36034, -1.78775
"Result of NSS_01", "00:00:00.145", 1, 14, 166.649, 114.052, 1.38965, 50, 0.027793, -96.8655, 201.941, -1.37968, -0.166115
"Result of NSS_01", "00:00:00.145", 1, 15, 162.935, 113.814, 3.72187, 50, 0.0744374, -93.6784, 198.75, -3.7142, -0.238777
"Result of NSS_01", "00:00:00.145", 1, 16, 161.503, 114.147, 1.47085, 50, 0.029417, -76.9103, 197.769, -1.43263, 0.333115
"Result of NSS_01", "00:00:00.145", 1, 17, 161.621, 114.104, 0.125951, 50, 0.00251903, 109.766, 197.841, 0.11853, -0.0425949
"Result of NSS_01", "00:00:00.145", 1, 18, 158.155, 115.114, 3.61005, 50, 0.0722011, -73.759, 195.613, -3.46599, 1.00966
"Result of NSS_01", "00:00:00.145", 1, 19, 156.617, 115.149, 1.5386, 50, 0.030772, -88.6806, 194.392, -1.53819, 0.0354309
"Result of NSS_01", "00:00:00.145", 1, 20, 152.555, 116.092, 4.17035, 50, 0.0834071, -76.9411, 191.703, -4.0625, 0.942307
"Result of NSS_01", "00:00:00.146", 1, 21, 150.968, 116.188, 1.58917, 50, 0.0317835, -86.5111, 190.502, -1.58623, 0.0967102
"Result of NSS_01", "00:00:00.146", 1, 22, 150.556, 116.085, 0.425085, 50, 0.0085017, -104.058, 190.113, -0.412354, -0.103256
