Image Name	Image Plane	Image Date and Time	Elapsed Time	Stage Label	Wavelength	Object #	Frame #	X	Y	Distance	Time Interval	Velocity	Absolute Angle	Distance To Origin	Delta X	Delta Y
Subtract	1	55:30.0	00:00.0	No Label	0	1	1	129.452	156.299	0	0	0	0	202.946	0	0
Subtract	2	55:30.0	00:00.0	No Label	0	1	2	128.737	155.637	0.974313	50	0.0194863	-132.773	201.98	-0.715195	-0.661652
Subtract	3	55:30.1	00:00.1	No Label	0	1	3	128.356	155.183	0.592712	50	0.0118542	-140.032	201.387	-0.380737	-0.454254
Subtract	4	55:30.1	00:00.1	No Label	0	1	4	120.147	148.995	10.2797	50	0.205594	-127.006	191.402	-8.20907	-6.18739
Subtract	5	55:30.2	00:00.2	No Label	0	1	5	116.629	142.23	7.62529	50	0.152506	-152.525	183.934	-3.51804	-6.76524
Subtract	6	55:30.2	00:00.2	No Label	0	1	6	115.337	137.494	4.90905	50	0.0981811	-164.743	179.464	-1.2918	-4.73604
Subtract	7	55:30.3	00:00.3	No Label	0	1	7	109.177	127.776	11.5061	50	0.230121	-147.635	168.066	-6.15941	-9.71861
Subtract	8	55:30.3	00:00.3	No Label	0	1	8	110.315	123.681	4.24946	50	0.0849892	164.479	165.73	1.13711	-4.0945
Subtract	9	55:30.4	00:00.4	No Label	0	1	9	115.111	112.952	11.7527	50	0.235053	155.913	161.272	4.7966	-10.7293
Subtract	10	55:30.4	00:00.4	No Label	0	1	10	122.039	106.647	9.36746	50	0.187349	132.303	162.071	6.92812	-6.3048
Subtract	11	55:30.5	00:00.5	No Label	0	1	11	126.898	102.909	6.13025	50	0.122605	127.575	163.381	4.85857	-3.73822
Subtract	12	55:30.5	00:00.5	No Label	0	1	12	136.464	97.2307	11.1239	50	0.222479	120.693	167.559	9.56568	-5.67801
Subtract	13	55:30.5	00:00.5	No Label	0	1	13	143.456	92.4875	8.44936	50	0.168987	124.15	170.686	6.99242	-4.74319
Subtract	14	55:30.6	00:00.6	No Label	0	1	14	154.892	85.8114	13.2418	50	0.264836	120.276	177.074	11.4357	-6.67609
Subtract	15	55:30.6	00:00.6	No Label	0	1	15	164.261	80.1147	10.9649	50	0.219298	121.302	182.756	9.36888	-5.69674
Subtract	16	55:30.7	00:00.7	No Label	0	1	16	170.832	75.6342	7.95378	50	0.159076	124.285	186.827	6.57175	-4.48048
Subtract	17	55:30.7	00:00.7	No Label	0	1	17	182.815	67.0842	14.7202	50	0.294405	125.509	194.735	11.9826	-8.55001
Subtract	18	55:30.8	00:00.8	No Label	0	1	18	191.183	63.2682	9.19716	50	0.183943	114.514	201.38	8.36816	-3.81596
Subtract	19	55:30.8	00:00.8	No Label	0	1	19	196.85	60.3554	6.37167	50	0.127433	117.204	205.895	5.66689	-2.91282
Subtract	20	55:30.9	00:00.9	No Label	0	1	20	207.774	54.9638	12.182	50	0.243641	116.269	214.921	10.924	-5.39156
Subtract	21	55:30.9	00:00.9	No Label	0	1	21	215.438	52.8911	7.93912	50	0.158782	105.134	221.835	7.66376	-2.07277
Subtract	22	55:31.0	00:01.0	No Label	0	1	22	226.45	50.1195	11.3557	50	0.227114	104.127	231.93	11.0123	-2.77156
Subtract	23	55:31.0	00:01.0	No Label	0	1	23	233.765	49.7123	7.32625	50	0.146525	93.1861	238.992	7.31493	-0.407181
Subtract	24	55:31.0	00:01.0	No Label	0	1	24	239.029	49.9386	5.26928	50	0.105386	87.5385	244.19	5.26442	0.226315
Subtract	25	55:31.1	00:01.1	No Label	0	1	25	249.039	51.2193	10.0916	50	0.201833	82.7093	254.252	10.01	1.28068
Subtract	26	55:31.1	00:01.1	No Label	0	1	26	257.181	53.3166	8.4075	50	0.16815	75.5547	262.65	8.14171	2.09731
Subtract	27	55:31.2	00:01.2	No Label	0	1	27	269.644	58.768	13.6033	50	0.272066	66.3757	275.974	12.4633	5.45137
Subtract	28	55:31.2	00:01.2	No Label	0	1	28	280.483	64.0372	12.0515	50	0.24103	64.0731	287.7	10.8386	5.26922
Subtract	29	55:31.3	00:01.3	No Label	0	1	29	288.118	67.6941	8.46582	50	0.169316	64.4084	295.964	7.63528	3.65685
Subtract	30	55:31.3	00:01.3	No Label	0	1	30	301.098	75.8331	15.3202	50	0.306404	57.9092	310.5	12.9794	8.13907
Subtract	31	55:31.4	00:01.4	No Label	0	1	31	310.954	80.0275	10.712	50	0.214239	66.9486	321.087	9.85666	4.19435
Subtract	32	55:31.4	00:01.4	No Label	0	1	32	325.653	86.771	16.1718	50	0.323436	65.3552	337.015	14.6987	6.74352
Subtract	33	55:31.5	00:01.4	No Label	0	1	33	335.248	90.4278	10.2686	50	0.205372	69.1384	347.23	9.59543	3.65678
Subtract	34	55:31.5	00:01.5	No Label	0	1	34	341.135	92.1536	6.13459	50	0.122692	73.6612	353.363	5.88684	1.72577
Subtract	35	55:31.5	00:01.5	No Label	0	1	35	351.185	97.5087	11.3876	50	0.227751	61.9485	364.471	10.0498	5.35517
Subtract	36	55:31.6	00:01.6	No Label	0	1	36	357.219	100.902	6.92269	50	0.138454	60.6466	371.196	6.03391	3.39347
Subtract	37	55:31.6	00:01.6	No Label	0	1	37	360.345	102.45	3.48871	50	0.0697743	63.6608	374.626	3.12653	1.54789
Subtract	38	55:31.7	00:01.7	No Label	0	1	38	368.648	107.811	9.88275	50	0.197655	57.152	384.089	8.30261	5.36053
Subtract	39	55:31.7	00:01.7	No Label	0	1	39	374.476	110.448	6.39703	50	0.127941	65.6514	390.424	5.82803	2.63742
Subtract	40	55:31.8	00:01.8	No Label	0	1	40	385.491	117.48	13.0678	50	0.261356	57.4448	402.994	11.0145	7.03194
Subtract	41	55:31.8	00:01.8	No Label	0	1	41	393.481	121.529	8.95768	50	0.179154	63.1264	411.821	7.9903	4.0491
Subtract	42	55:31.8	00:01.8	No Label	0	1	42	397.489	124.178	4.80461	50	0.0960923	56.5357	416.435	4.00815	2.64935
Subtract	43	55:31.9	00:01.9	No Label	0	1	43	406.453	130.541	10.9924	50	0.219849	54.6299	426.901	8.96356	6.36304
Subtract	44	55:31.9	00:01.9	No Label	0	1	44	411.854	133.599	6.20699	50	0.12414	60.4913	432.981	5.40182	3.0573
Subtract	45	55:32.0	00:02.0	No Label	0	1	45	422.218	141.07	12.7762	50	0.255525	54.2103	445.162	10.3637	7.47171
Subtract	46	55:32.0	00:02.0	No Label	0	1	46	428.283	143.897	6.69108	50	0.133822	65.013	451.81	6.06482	2.8264
Subtract	47	55:32.1	00:02.1	No Label	0	1	47	430.917	145.256	2.9639	50	0.059278	62.6981	454.74	2.63373	1.35948
Subtract	48	55:32.1	00:02.1	No Label	0	1	48	439.116	151.454	10.2777	50	0.205555	52.9161	464.501	8.1991	6.19731
Subtract	49	55:32.2	00:02.2	No Label	0	1	49	443.312	152.8	4.40683	50	0.0881365	72.2179	468.906	4.19629	1.34584
Subtract	50	55:32.2	00:02.2	No Label	0	1	50	445.355	153.824	2.28576	50	0.0457151	63.3594	471.172	2.04309	1.02492
Subtract	51	55:32.2	00:02.2	No Label	0	1	51	451.785	158.356	7.86582	50	0.157316	54.8237	478.734	6.42938	4.53146
Subtract	52	55:32.3	00:02.3	No Label	0	1	52	454.823	158.394	3.03836	50	0.0607671	89.2798	481.614	3.03812	0.0381927
Subtract	53	55:32.3	00:02.3	No Label	0	1	53	461.307	158.424	6.48459	50	0.129692	89.74	487.752	6.48453	0.0294342
Subtract	54	55:32.4	00:02.4	No Label	0	1	54	463.64	157.907	2.38955	50	0.0477909	102.478	489.793	2.3331	-0.516312
Subtract	55	55:32.4	00:02.4	No Label	0	1	55	464.461	157.906	0.820466	50	0.0164093	90.0725	490.569	0.820465	-0.0010376
Subtract	56	55:32.5	00:02.5	No Label	0	1	56	467.143	156.873	2.87476	50	0.0574951	111.067	492.78	2.68262	-1.03334
Subtract	57	55:32.5	00:02.5	No Label	0	1	57	467.224	157.039	0.185	50	0.00369999	25.8063	492.909	0.0805359	0.16655
Subtract	58	55:32.6	00:02.6	No Label	0	1	58	464.963	153.825	3.93026	50	0.0786053	-144.877	489.747	-2.2612	-3.21465
Subtract	59	55:32.6	00:02.6	No Label	0	1	59	465.431	154.91	1.18193	50	0.0236386	23.343	490.533	0.468323	1.08519
Subtract	60	55:32.7	00:02.7	No Label	0	1	60	465.201	155.658	0.78231	50	0.0156462	-17.0962	490.552	-0.22998	0.747742
Subtract	61	55:32.7	00:02.7	No Label	0	1	61	461.616	155.127	3.62413	50	0.0724826	-98.4183	486.984	-3.58508	-0.530563
Subtract	62	55:32.7	00:02.7	No Label	0	1	62	461.001	154.366	0.978669	50	0.0195734	-141.055	486.159	-0.615173	-0.761154
Subtract	63	55:32.8	00:02.8	No Label	0	1	63	457.636	153.857	3.40256	50	0.0680512	-98.5947	482.808	-3.36435	-0.508484
Subtract	64	55:32.8	00:02.8	No Label	0	1	64	454.226	152.69	3.60506	50	0.0721012	-108.891	479.203	-3.41089	-1.16718
Subtract	65	55:32.9	00:02.9	No Label	0	1	65	451.537	152.06	2.7611	50	0.055222	-103.19	476.454	-2.68826	-0.63002
Subtract	66	55:32.9	00:02.9	No Label	0	1	66	445.726	151.357	5.85378	50	0.117076	-96.9038	470.723	-5.81134	-0.703629
Subtract	67	55:33.0	00:03.0	No Label	0	1	67	440.353	150.143	5.5079	50	0.110158	-102.732	465.246	-5.37247	-1.2139
Subtract	68	55:33.0	00:03.0	No Label	0	1	68	435.933	149.257	4.50835	50	0.090167	-101.335	460.777	-4.42041	-0.886124
Subtract	69	55:33.1	00:03.1	No Label	0	1	69	429.498	149.509	6.43987	50	0.128797	-87.7508	454.777	-6.43491	0.252747
Subtract	70	55:33.1	00:03.1	No Label	0	1	70	423.184	150.092	6.34078	50	0.126816	-84.7263	449.013	-6.31393	0.582809
Subtract	71	55:33.1	00:03.1	No Label	0	1	71	413.309	151.63	9.99439	50	0.199888	-81.151	440.245	-9.87543	1.53746
Subtract	72	55:33.2	00:03.2	No Label	0	1	72	403.957	153.601	9.55703	50	0.191141	-78.0988	432.174	-9.35159	1.9709
Subtract	73	55:33.2	00:03.2	No Label	0	1	73	397.302	155.061	6.81328	50	0.136266	-77.6259	426.489	-6.655	1.46005
Subtract	74	55:33.3	00:03.3	No Label	0	1	74	387.998	157.954	9.74324	50	0.194865	-72.7254	418.918	-9.30374	2.89328
Subtract	75	55:33.3	00:03.3	No Label	0	1	75	380.089	160.635	8.35106	50	0.167021	-71.2761	412.64	-7.90909	2.68077
Subtract	76	55:33.4	00:03.4	No Label	0	1	76	370.126	165.871	11.2551	50	0.225102	-62.2763	405.594	-9.96304	5.23598
Subtract	77	55:33.4	00:03.4	No Label	0	1	77	362.007	169.513	8.89889	50	0.177978	-65.8394	399.729	-8.11935	3.64229
Subtract	78	55:33.5	00:03.5	No Label	0	1	78	356.948	172.019	5.64563	50	0.112913	-63.6454	396.235	-5.05884	2.50624
Subtract	79	55:33.5	00:03.5	No Label	0	1	79	349.017	178.004	9.93619	50	0.198724	-52.9612	391.789	-7.93134	5.98512
Subtract	80	55:33.5	00:03.5	No Label	0	1	80	343.892	180.172	5.56409	50	0.111282	-67.0699	388.232	-5.12442	2.16782
Subtract	81	55:33.6	00:03.6	No Label	0	1	81	340.738	181.279	3.34322	50	0.0668645	-70.6683	385.959	-3.15472	1.10674
Subtract	82	55:33.6	00:03.6	No Label	0	1	82	334.295	186.865	8.52769	50	0.170554	-49.0721	382.977	-6.44296	5.58656
Subtract	83	55:33.7	00:03.7	No Label	0	1	83	329.763	188.463	4.80512	50	0.0961025	-70.5832	379.818	-4.53183	1.59741
Subtract	84	55:33.7	00:03.7	No Label	0	1	84	322.172	192.572	8.6317	50	0.172634	-61.5681	375.339	-7.59058	4.10968
Subtract	85	55:33.8	00:03.8	No Label	0	1	85	316.387	193.91	5.93784	50	0.118757	-76.9786	371.082	-5.78516	1.33789
